Key,Eng,Kor,JP_M,JP_W,비고
DialogueC_001,,,,,플레이어가 지정한 이름
DialogueC_002,,우연,グウゼン,グウゼン,
DialogueC_003,,,,,공백(속마음)
Dialogue_0001,hello,안녕,こんばんわ,こんばんわ,
Dialogue_0002,Are you awake?,깼어?,起きた？,起きた？,
Dialogue_0003,,...,,,
Dialogue_0004,,응,,,
Dialogue_0005,,우선 조용히 상황을 파악하자.,,,
Dialogue_0006,,숨겨봤자 걸릴게 뻔하다. /n 침착하게 대응하자,,,
Dialogue_0007,,우선 옆에서 들리는 목소리는,,,
Dialogue_0008,,여자,,,
Dialogue_0009,,남자,,,
Dialogue_0010,,,,,
Dialogue_0011,,,,,
Dialogue_0012,,,,,
Dialogue_0013,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DialogueR1_0001,,우연의 다이어리다. /n 비밀번호를 입력해야 열릴 듯하다.,,,
DialogueR1_0002,,다이어리가 열렸다.,,,
DialogueR1_0003,,일기 내용,,,
DialogueR1_0004,,,,,
